time_slot_s,scenario,slice_type,ue_count,traffic_load_mbps,rsrp_dbm,sinr_db,prb_demanded,tx_power_dbm,conflict_flag,conflict_type,rdl_action,sla_met
0.0,baseline,URLLC,18,32.23,-104.4,17.65,202,33.82,0,NONE,NONE_UNMANAGED,1
0.0,rdl_phase1,URLLC,29,62.33,-76.01,21.8,52,35.44,0,NONE,ALLOW_REGULAR,1
0.2,baseline,eMBB,18,74.54,-91.21,8.14,214,32.94,1,DIRECT_PRB,NONE_UNMANAGED,0
0.2,rdl_phase1,eMBB,20,56.3,-76.62,22.14,117,37.78,0,NONE,ALLOW_REGULAR,1
0.4,baseline,mMTC,20,60.61,-106.28,16.38,265,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
0.4,rdl_phase1,mMTC,34,35.91,-96.91,5.72,249,37.38,0,NONE,ALLOW_REGULAR,1
0.6,baseline,URLLC,15,67.92,-92.9,4.57,142,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
0.6,rdl_phase1,URLLC,24,39.16,-101.57,15.05,70,30.69,0,NONE,ALLOW_REGULAR,1
0.81,baseline,eMBB,30,85.28,-75.77,14.25,82,34.75,0,NONE,NONE_UNMANAGED,1
0.81,rdl_phase1,eMBB,32,33.21,-91.53,15.95,104,37.43,0,NONE,ALLOW_REGULAR,1
1.01,baseline,mMTC,21,77.04,-96.04,17.45,145,35.18,0,NONE,NONE_UNMANAGED,1
1.01,rdl_phase1,mMTC,18,39.83,-107.76,2.48,191,31.84,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
1.21,baseline,URLLC,22,20.58,-85.23,3.35,67,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
1.21,rdl_phase1,URLLC,25,25.67,-101.67,17.39,104,34.31,0,NONE,ALLOW_REGULAR,1
1.41,baseline,eMBB,33,66.1,-101.5,12.88,154,30.97,0,NONE,NONE_UNMANAGED,1
1.41,rdl_phase1,eMBB,28,48.34,-95.61,21.87,63,35.39,0,NONE,ALLOW_REGULAR,1
1.61,baseline,mMTC,18,24.85,-84.51,20.41,77,31.9,0,NONE,NONE_UNMANAGED,1
1.61,rdl_phase1,mMTC,29,31.21,-103.58,12.64,69,33.55,0,NONE,ALLOW_REGULAR,1
1.81,baseline,URLLC,32,27.83,-87.17,14.43,53,43.0,0,NONE,NONE_UNMANAGED,1
1.81,rdl_phase1,URLLC,22,33.3,-93.0,6.92,152,37.22,0,NONE,ALLOW_REGULAR,1
2.01,baseline,eMBB,20,50.32,-75.51,8.1,250,43.0,0,NONE,NONE_UNMANAGED,1
2.01,rdl_phase1,eMBB,24,53.84,-76.49,24.89,192,35.29,0,NONE,ALLOW_REGULAR,1
2.21,baseline,mMTC,30,32.38,-99.62,24.28,198,43.0,0,NONE,NONE_UNMANAGED,1
2.21,rdl_phase1,mMTC,16,79.84,-108.0,15.44,178,37.36,0,NONE,ALLOW_REGULAR,1
2.42,baseline,URLLC,31,32.59,-76.37,3.84,97,30.68,1,POWER_OVERLOAD,NONE_UNMANAGED,0
2.42,rdl_phase1,URLLC,22,52.3,-77.04,15.1,198,34.76,0,NONE,ALLOW_REGULAR,1
2.62,baseline,eMBB,34,26.56,-86.99,15.0,130,43.0,0,NONE,NONE_UNMANAGED,1
2.62,rdl_phase1,eMBB,21,73.58,-99.0,8.11,83,35.37,0,NONE,ALLOW_REGULAR,1
2.82,baseline,mMTC,24,56.58,-77.48,23.52,52,39.98,0,NONE,NONE_UNMANAGED,1
2.82,rdl_phase1,mMTC,18,25.86,-102.54,8.1,139,37.05,0,NONE,ALLOW_REGULAR,1
3.02,baseline,URLLC,22,49.56,-104.48,21.18,230,39.84,0,NONE,NONE_UNMANAGED,1
3.02,rdl_phase1,URLLC,31,20.63,-81.4,8.89,219,30.83,0,NONE,ALLOW_REGULAR,1
3.22,baseline,eMBB,19,41.16,-78.86,19.08,89,36.05,0,NONE,NONE_UNMANAGED,1
3.22,rdl_phase1,eMBB,25,36.29,-87.8,8.07,175,32.01,0,NONE,ALLOW_REGULAR,1
3.42,baseline,mMTC,16,27.38,-95.17,8.36,50,31.31,0,NONE,NONE_UNMANAGED,1
3.42,rdl_phase1,mMTC,23,32.93,-94.54,18.23,193,30.08,0,NONE,ALLOW_REGULAR,1
3.62,baseline,URLLC,17,95.6,-85.81,5.43,59,43.0,0,NONE,NONE_UNMANAGED,1
3.62,rdl_phase1,URLLC,33,64.2,-94.96,2.96,143,37.19,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
3.83,baseline,eMBB,16,91.91,-102.65,7.74,76,35.6,0,NONE,NONE_UNMANAGED,1
3.83,rdl_phase1,eMBB,28,97.91,-83.77,23.29,110,36.92,0,NONE,ALLOW_REGULAR,1
4.03,baseline,mMTC,20,90.51,-109.13,18.94,135,43.0,0,NONE,NONE_UNMANAGED,1
4.03,rdl_phase1,mMTC,28,84.18,-79.76,20.65,118,31.27,0,NONE,ALLOW_REGULAR,1
4.23,baseline,URLLC,18,50.6,-108.64,12.83,101,43.0,0,NONE,NONE_UNMANAGED,1
4.23,rdl_phase1,URLLC,29,47.97,-81.28,22.04,107,30.19,0,NONE,ALLOW_REGULAR,1
4.43,baseline,eMBB,21,51.88,-100.25,3.6,247,36.41,1,DIRECT_PRB,NONE_UNMANAGED,0
4.43,rdl_phase1,eMBB,27,74.36,-80.47,9.62,57,30.92,0,NONE,ALLOW_REGULAR,1
4.63,baseline,mMTC,23,34.29,-76.31,8.11,77,43.0,0,NONE,NONE_UNMANAGED,1
4.63,rdl_phase1,mMTC,26,78.28,-99.02,15.94,180,30.93,0,NONE,ALLOW_REGULAR,1
4.83,baseline,URLLC,33,35.21,-108.45,12.03,183,43.0,0,NONE,NONE_UNMANAGED,1
4.83,rdl_phase1,URLLC,32,74.95,-77.09,18.95,100,32.91,0,NONE,ALLOW_REGULAR,1
5.03,baseline,eMBB,17,95.91,-77.77,16.33,219,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
5.03,rdl_phase1,eMBB,24,60.57,-86.66,9.5,228,32.37,1,DIRECT_PRB,QOS_BOOST_URLLC,1
5.23,baseline,mMTC,19,35.35,-86.73,10.72,241,43.0,0,NONE,NONE_UNMANAGED,1
5.23,rdl_phase1,mMTC,34,65.53,-95.79,21.18,127,32.3,0,NONE,ALLOW_REGULAR,1
5.44,baseline,URLLC,28,82.86,-88.77,9.41,163,32.14,0,NONE,NONE_UNMANAGED,1
5.44,rdl_phase1,URLLC,30,83.5,-76.41,18.93,218,30.68,1,DIRECT_PRB,QOS_BOOST_URLLC,1
5.64,baseline,eMBB,31,73.11,-88.33,4.15,242,33.1,1,DIRECT_PRB,NONE_UNMANAGED,0
5.64,rdl_phase1,eMBB,21,31.79,-108.38,24.63,206,36.8,0,NONE,ALLOW_REGULAR,1
5.84,baseline,mMTC,17,56.43,-78.99,15.24,233,43.0,0,NONE,NONE_UNMANAGED,1
5.84,rdl_phase1,mMTC,30,51.97,-104.84,17.82,242,36.88,0,NONE,ALLOW_REGULAR,1
6.04,baseline,URLLC,18,82.27,-102.34,20.49,228,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
